[2025-05-03 18:07:30.677] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275850677
[2025-05-03 18:07:31.730] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275851730
[2025-05-03 18:07:32.791] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275852791
[2025-05-03 18:07:33.800] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275853800
[2025-05-03 18:07:34.804] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275854804
[2025-05-03 18:07:35.817] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275855817
[2025-05-03 18:07:36.892] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275856892
[2025-05-03 18:07:37.953] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275857953
[2025-05-03 18:07:38.964] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275858964
[2025-05-03 18:07:40.021] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275860021
[2025-05-03 18:07:41.041] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275861041
[2025-05-03 18:07:42.067] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275862067
[2025-05-03 18:07:42.656] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275862656
[2025-05-03 18:07:43.100] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275863100
[2025-05-03 18:07:43.659] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275863659
[2025-05-03 18:07:44.106] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275864106
[2025-05-03 18:07:44.707] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275864707
[2025-05-03 18:07:45.109] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275865109
[2025-05-03 18:07:45.778] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275865778
[2025-05-03 18:07:46.119] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275866119
[2025-05-03 18:07:46.875] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275866875
[2025-05-03 18:07:47.123] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275867123
[2025-05-03 18:07:47.889] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275867889
[2025-05-03 18:07:48.225] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275868225
[2025-05-03 18:07:48.899] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275868899
[2025-05-03 18:07:49.227] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275869227
[2025-05-03 18:07:49.921] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275869921
[2025-05-03 18:07:50.258] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275870258
[2025-05-03 18:07:50.993] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275870993
[2025-05-03 18:07:51.279] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275871279
[2025-05-03 18:07:52.006] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275872006
[2025-05-03 18:07:52.283] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275872283
[2025-05-03 18:07:53.169] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275873169
[2025-05-03 18:07:53.295] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275873295
[2025-05-03 18:07:54.172] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275874172
[2025-05-03 18:07:54.299] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275874299
[2025-05-03 18:07:55.227] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275875227
[2025-05-03 18:07:55.344] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746275875344
[2025-05-03 18:26:17.426] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276977426
[2025-05-03 18:26:18.437] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276978437
[2025-05-03 18:26:19.925] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276979925
[2025-05-03 18:26:20.961] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276980961
[2025-05-03 18:26:21.963] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276981963
[2025-05-03 18:26:22.965] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276982965
[2025-05-03 18:26:24.457] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276984457
[2025-05-03 18:26:25.461] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276985461
[2025-05-03 18:26:26.976] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276986976
[2025-05-03 18:26:28.471] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276988471
[2025-05-03 18:26:29.473] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276989473
[2025-05-03 18:26:30.477] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276990477
[2025-05-03 18:26:31.978] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276991978
[2025-05-03 18:26:32.982] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276992982
[2025-05-03 18:26:34.469] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276994469
[2025-05-03 18:26:35.473] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276995473
[2025-05-03 18:26:36.968] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276996968
[2025-05-03 18:26:37.980] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276997980
[2025-05-03 18:26:38.981] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746276998981
[2025-05-03 18:26:40.472] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277000472
[2025-05-03 18:26:41.985] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277001985
[2025-05-03 18:26:43.480] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277003480
[2025-05-03 18:26:44.516] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277004516
[2025-05-03 18:26:45.531] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277005531
[2025-05-03 18:26:46.546] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277006545
[2025-05-03 18:26:48.059] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277008059
[2025-05-03 18:26:49.067] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277009067
[2025-05-03 18:26:50.082] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277010082
[2025-05-03 18:26:51.111] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277011111
[2025-05-03 18:26:52.129] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277012129
[2025-05-03 18:26:53.137] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277013137
[2025-05-03 18:26:54.137] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277014137
[2025-05-03 18:26:55.636] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277015636
[2025-05-03 18:26:57.127] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277017127
[2025-05-03 18:26:58.135] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277018135
[2025-05-03 18:26:59.639] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277019639
[2025-05-03 18:27:01.140] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277021140
[2025-05-03 18:27:02.629] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277022629
[2025-05-03 18:27:03.639] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277023639
[2025-05-03 18:27:05.133] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277025133
[2025-05-03 18:27:06.636] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277026636
[2025-05-03 18:35:22.466] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277522466
[2025-05-03 18:35:23.997] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277523997
[2025-05-03 18:35:25.450] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277525450
[2025-05-03 18:35:26.456] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277526456
[2025-05-03 18:35:27.472] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277527472
[2025-05-03 18:35:28.969] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277528969
[2025-05-03 18:35:29.979] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277529979
[2025-05-03 18:35:30.982] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277530982
[2025-05-03 18:35:32.496] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277532496
[2025-05-03 18:35:33.504] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277533504
[2025-05-03 18:35:35.008] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277535008
[2025-05-03 18:35:36.497] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277536497
[2025-05-03 18:35:37.511] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277537511
[2025-05-03 18:35:38.999] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277538999
[2025-05-03 18:35:40.011] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277540011
[2025-05-03 18:35:41.018] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277541018
[2025-05-03 18:35:42.502] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277542502
[2025-05-03 18:35:43.516] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277543516
[2025-05-03 18:35:44.519] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746277544519
[2025-05-03 18:44:22.370] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746278062370
[2025-05-03 18:44:23.857] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746278063857
[2025-05-03 18:44:24.884] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746278064884
[2025-05-03 18:44:26.396] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746278066396
[2025-05-03 18:44:27.915] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746278067915
