[2025-05-05 00:00:24.056] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383424056
[2025-05-05 00:00:39.270] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383439270
[2025-05-05 00:00:41.573] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383441573
[2025-05-05 00:00:42.841] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383442841
[2025-05-05 00:00:43.942] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383443942
[2025-05-05 00:00:44.850] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383444850
[2025-05-05 00:00:45.778] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383445778
[2025-05-05 00:00:46.749] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383446749
[2025-05-05 00:00:47.851] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383447851
[2025-05-05 00:00:48.843] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383448843
[2025-05-05 00:00:49.939] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383449939
[2025-05-05 00:00:50.977] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383450977
[2025-05-05 00:00:51.871] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383451871
[2025-05-05 00:00:52.932] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383452932
[2025-05-05 00:00:53.941] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383453941
[2025-05-05 00:00:54.847] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383454847
[2025-05-05 00:00:55.972] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383455972
[2025-05-05 00:00:57.380] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383457380
[2025-05-05 00:00:58.547] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383458547
[2025-05-05 00:00:59.918] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383459918
[2025-05-05 00:01:00.991] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383460991
[2025-05-05 00:01:01.925] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383461925
[2025-05-05 00:01:02.992] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383462992
[2025-05-05 00:01:03.900] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383463900
[2025-05-05 00:01:05.075] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383465075
[2025-05-05 00:01:06.379] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383466379
[2025-05-05 00:01:07.362] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383467362
[2025-05-05 00:01:08.400] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746383468400
