[2025-05-11 16:17:21.383] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.98
[2025-05-11 16:17:21.385] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.98
[2025-05-11 16:17:22.404] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.58
[2025-05-11 16:17:22.405] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.58
[2025-05-11 16:17:23.506] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.92
[2025-05-11 16:17:23.508] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.92
[2025-05-11 16:17:24.595] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.86
[2025-05-11 16:17:24.596] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.86
[2025-05-11 16:20:12.975] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.93
[2025-05-11 16:20:12.976] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.93
[2025-05-11 16:20:13.824] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.88
[2025-05-11 16:20:13.825] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.88
[2025-05-11 16:20:14.897] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.66
[2025-05-11 16:20:14.898] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.66
[2025-05-11 16:20:16.013] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.91
[2025-05-11 16:20:16.015] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.91
[2025-05-11 16:20:17.092] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.97
[2025-05-11 16:20:17.093] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.97
[2025-05-11 16:20:18.201] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.86
[2025-05-11 16:20:18.202] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.86
[2025-05-11 16:20:19.283] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.96
[2025-05-11 16:20:19.284] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.96
[2025-05-11 16:20:20.377] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.94
[2025-05-11 16:20:20.377] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.94
[2025-05-11 16:20:21.464] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.92
[2025-05-11 16:20:21.465] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.92
[2025-05-11 16:20:22.564] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.61
[2025-05-11 16:20:22.565] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.61
[2025-05-11 16:20:23.658] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.92
[2025-05-11 16:20:23.659] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.92
[2025-05-11 16:20:24.728] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.93
[2025-05-11 16:20:24.729] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.93
[2025-05-11 16:20:25.740] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.53
[2025-05-11 16:20:25.741] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.53
