[2025-05-04 17:34:35.594] HELMET_DETECTION :: camera_id:None | confidence:0.86 | timestamp_ms:1746360275594
[2025-05-04 17:34:36.103] HELMET_DETECTION :: camera_id:None | confidence:0.9 | timestamp_ms:1746360276103
[2025-05-04 17:34:36.588] HELMET_DETECTION :: camera_id:None | confidence:0.93 | timestamp_ms:1746360276588
[2025-05-04 17:34:37.084] HELMET_DETECTION :: camera_id:None | confidence:0.81 | timestamp_ms:1746360277084
[2025-05-04 17:34:37.584] HELMET_DETECTION :: camera_id:None | confidence:0.96 | timestamp_ms:1746360277584
[2025-05-04 17:34:38.092] HELMET_DETECTION :: camera_id:None | confidence:0.92 | timestamp_ms:1746360278092
[2025-05-04 17:34:38.583] HELMET_DETECTION :: camera_id:None | confidence:0.88 | timestamp_ms:1746360278583
[2025-05-04 17:34:39.091] HELMET_DETECTION :: camera_id:None | confidence:0.98 | timestamp_ms:1746360279091
[2025-05-04 17:34:39.592] HELMET_DETECTION :: camera_id:None | confidence:0.8 | timestamp_ms:1746360279592
[2025-05-04 17:34:40.092] HELMET_DETECTION :: camera_id:None | confidence:0.94 | timestamp_ms:1746360280092
[2025-05-04 17:34:40.584] HELMET_DETECTION :: camera_id:None | confidence:0.95 | timestamp_ms:1746360280584
[2025-05-04 17:34:41.089] HELMET_DETECTION :: camera_id:None | confidence:0.96 | timestamp_ms:1746360281089
[2025-05-04 17:34:41.583] HELMET_DETECTION :: camera_id:None | confidence:0.97 | timestamp_ms:1746360281583
[2025-05-04 17:34:42.087] HELMET_DETECTION :: camera_id:None | confidence:0.98 | timestamp_ms:1746360282087
[2025-05-04 17:34:42.589] HELMET_DETECTION :: camera_id:None | confidence:0.88 | timestamp_ms:1746360282589
[2025-05-04 17:34:43.088] HELMET_DETECTION :: camera_id:None | confidence:0.98 | timestamp_ms:1746360283088
[2025-05-04 17:34:43.585] HELMET_DETECTION :: camera_id:None | confidence:0.98 | timestamp_ms:1746360283585
[2025-05-04 17:34:44.094] HELMET_DETECTION :: camera_id:None | confidence:0.8 | timestamp_ms:1746360284094
[2025-05-04 17:34:44.593] HELMET_DETECTION :: camera_id:None | confidence:0.88 | timestamp_ms:1746360284593
[2025-05-04 17:34:45.079] HELMET_DETECTION :: camera_id:None | confidence:0.92 | timestamp_ms:1746360285079
[2025-05-04 17:34:45.582] HELMET_DETECTION :: camera_id:None | confidence:0.87 | timestamp_ms:1746360285582
[2025-05-04 17:34:46.093] HELMET_DETECTION :: camera_id:None | confidence:0.81 | timestamp_ms:1746360286093
[2025-05-04 17:34:46.593] HELMET_DETECTION :: camera_id:None | confidence:0.89 | timestamp_ms:1746360286593
[2025-05-04 17:34:47.086] HELMET_DETECTION :: camera_id:None | confidence:0.89 | timestamp_ms:1746360287086
[2025-05-04 17:34:47.585] HELMET_DETECTION :: camera_id:None | confidence:0.9 | timestamp_ms:1746360287585
[2025-05-04 17:34:48.085] HELMET_DETECTION :: camera_id:None | confidence:0.88 | timestamp_ms:1746360288085
[2025-05-04 17:34:48.592] HELMET_DETECTION :: camera_id:None | confidence:0.94 | timestamp_ms:1746360288592
[2025-05-04 17:34:49.089] HELMET_DETECTION :: camera_id:None | confidence:0.98 | timestamp_ms:1746360289089
[2025-05-04 17:34:49.586] HELMET_DETECTION :: camera_id:None | confidence:0.93 | timestamp_ms:1746360289586
[2025-05-04 17:34:50.093] HELMET_DETECTION :: camera_id:None | confidence:0.91 | timestamp_ms:1746360290093
[2025-05-04 17:34:50.592] HELMET_DETECTION :: camera_id:None | confidence:0.87 | timestamp_ms:1746360290592
[2025-05-04 17:34:51.085] HELMET_DETECTION :: camera_id:None | confidence:0.81 | timestamp_ms:1746360291085
[2025-05-04 17:34:51.588] HELMET_DETECTION :: camera_id:None | confidence:0.95 | timestamp_ms:1746360291588
[2025-05-04 17:34:52.084] HELMET_DETECTION :: camera_id:None | confidence:0.81 | timestamp_ms:1746360292084
[2025-05-04 17:34:52.591] HELMET_DETECTION :: camera_id:None | confidence:0.82 | timestamp_ms:1746360292591
