[2025-05-05 00:00:24.509] HELMET_DETECTION :: camera_id:None | confidence:0.91 | timestamp_ms:1746383424509
[2025-05-05 00:00:39.726] HELMET_DETECTION :: camera_id:None | confidence:0.81 | timestamp_ms:1746383439726
[2025-05-05 00:00:41.973] HELMET_DETECTION :: camera_id:None | confidence:0.82 | timestamp_ms:1746383441973
[2025-05-05 00:00:43.076] HELMET_DETECTION :: camera_id:None | confidence:0.9 | timestamp_ms:1746383443076
[2025-05-05 00:00:44.149] HELMET_DETECTION :: camera_id:None | confidence:0.93 | timestamp_ms:1746383444149
[2025-05-05 00:00:44.953] HELMET_DETECTION :: camera_id:None | confidence:0.88 | timestamp_ms:1746383444953
[2025-05-05 00:00:45.978] HELMET_DETECTION :: camera_id:None | confidence:0.8 | timestamp_ms:1746383445978
[2025-05-05 00:00:46.931] HELMET_DETECTION :: camera_id:None | confidence:0.87 | timestamp_ms:1746383446931
[2025-05-05 00:00:48.171] HELMET_DETECTION :: camera_id:None | confidence:0.84 | timestamp_ms:1746383448171
[2025-05-05 00:00:49.074] HELMET_DETECTION :: camera_id:None | confidence:0.98 | timestamp_ms:1746383449074
[2025-05-05 00:00:50.344] HELMET_DETECTION :: camera_id:None | confidence:0.93 | timestamp_ms:1746383450344
[2025-05-05 00:00:51.244] HELMET_DETECTION :: camera_id:None | confidence:0.83 | timestamp_ms:1746383451244
[2025-05-05 00:00:52.089] HELMET_DETECTION :: camera_id:None | confidence:0.96 | timestamp_ms:1746383452089
[2025-05-05 00:00:53.073] HELMET_DETECTION :: camera_id:None | confidence:0.82 | timestamp_ms:1746383453073
[2025-05-05 00:00:54.090] HELMET_DETECTION :: camera_id:None | confidence:0.89 | timestamp_ms:1746383454090
[2025-05-05 00:00:55.109] HELMET_DETECTION :: camera_id:None | confidence:0.83 | timestamp_ms:1746383455109
[2025-05-05 00:00:56.358] HELMET_DETECTION :: camera_id:None | confidence:0.96 | timestamp_ms:1746383456358
[2025-05-05 00:00:57.622] HELMET_DETECTION :: camera_id:None | confidence:0.86 | timestamp_ms:1746383457622
[2025-05-05 00:00:58.858] HELMET_DETECTION :: camera_id:None | confidence:0.94 | timestamp_ms:1746383458858
[2025-05-05 00:01:00.176] HELMET_DETECTION :: camera_id:None | confidence:0.84 | timestamp_ms:1746383460176
[2025-05-05 00:01:01.172] HELMET_DETECTION :: camera_id:None | confidence:0.88 | timestamp_ms:1746383461172
[2025-05-05 00:01:02.222] HELMET_DETECTION :: camera_id:None | confidence:0.84 | timestamp_ms:1746383462222
