[2025-05-11 15:58:44.405] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.77
[2025-05-11 15:58:44.406] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.77
[2025-05-11 15:58:46.531] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.79
[2025-05-11 15:58:46.532] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.79
[2025-05-11 15:58:47.610] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.79
[2025-05-11 15:58:47.610] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.79
[2025-05-11 15:58:48.685] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-11 15:58:48.686] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-11 15:58:49.706] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-11 15:58:49.708] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-11 15:58:50.438] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.87
[2025-05-11 15:58:50.440] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.87
[2025-05-11 15:58:50.810] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.94
[2025-05-11 15:58:50.813] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.94
[2025-05-11 15:58:51.887] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-11 15:58:51.888] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-11 15:58:52.924] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.73
[2025-05-11 15:58:52.927] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.73
[2025-05-11 15:58:53.934] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.72
[2025-05-11 15:58:53.936] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.72
[2025-05-11 15:58:54.943] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.89
[2025-05-11 15:58:54.949] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.89
[2025-05-11 15:58:55.968] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.87
[2025-05-11 15:58:55.972] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.87
[2025-05-11 15:58:56.933] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-11 15:58:56.935] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-11 15:58:57.936] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.84
[2025-05-11 15:58:57.936] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.84
[2025-05-11 15:59:02.977] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.93
[2025-05-11 15:59:02.978] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.93
[2025-05-11 15:59:03.971] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.87
[2025-05-11 15:59:03.974] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.87
[2025-05-11 15:59:04.996] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.75
[2025-05-11 15:59:04.998] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.75
[2025-05-11 15:59:06.017] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.75
[2025-05-11 15:59:06.020] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.75
[2025-05-11 15:59:07.017] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-11 15:59:07.019] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-11 15:59:08.022] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.71
[2025-05-11 15:59:08.025] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.71
[2025-05-11 15:59:09.065] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.87
[2025-05-11 15:59:09.067] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.87
[2025-05-11 15:59:10.108] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-11 15:59:10.109] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-11 15:59:11.197] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.9
[2025-05-11 15:59:11.198] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.9
[2025-05-11 15:59:12.325] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.82
[2025-05-11 15:59:12.330] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.82
[2025-05-11 15:59:13.394] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-11 15:59:13.396] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-11 15:59:14.479] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.93
[2025-05-11 15:59:14.481] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.93
[2025-05-11 15:59:15.583] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-11 15:59:15.584] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-11 15:59:16.621] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.73
