timestamp,camera_id,plugin_name,event,confidence
2025-04-27 12:28:27,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:27,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:28,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:28,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:28,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:28,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:29,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:29,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:30,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:30,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:30,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:30,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:31,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:31,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:31,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:31,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:32,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:32,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:32,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:32,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:33,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:33,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:33,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:33,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:34,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:34,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:34,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:34,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:35,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:35,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:35,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:35,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:36,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:36,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:36,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:36,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:37,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:37,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:37,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:37,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:38,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:38,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:38,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:38,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:39,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:39,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:39,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:39,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:40,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:40,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:40,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:40,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:41,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:41,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:41,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:41,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:42,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:42,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:42,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:42,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:43,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:43,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:43,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:43,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:44,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:44,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:44,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:44,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:45,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:45,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:45,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:45,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:46,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:46,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:46,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:46,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:47,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:47,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:47,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:47,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:48,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:48,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:48,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:48,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:49,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:49,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:28:49,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:28:49,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
