timestamp,camera_id,plugin_name,event,confidence
2025-04-27 12:40:04,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:04,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:05,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:05,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:05,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:05,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:06,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:06,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:06,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:06,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:07,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:07,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:07,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:07,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:08,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:08,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:08,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:08,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:09,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:09,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:09,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:09,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:10,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:10,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:10,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:10,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:11,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:11,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:12,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:12,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
2025-04-27 12:40:12,0,FireDetectionPlugin,Fire Detected,0.98
2025-04-27 12:40:12,0,IntrusionDetectionPlugin,Intrusion Detected,0.96
